timestamp,price,quantity
1772212680,6858.080078125,5135000
1772212740,6857.25,5196000
1772212800,6855.64990234375,5627000
1772212860,6854.43994140625,5788000
1772212920,6848.7998046875,6417000
1772212980,6853.1201171875,6477000
1772213040,6855.27001953125,6431000
1772213100,6855.77978515625,6518000
1772213160,6858.5,6839000
1772213220,6857.56005859375,5884000
1772213280,6858.740234375,5333000
1772213340,6856.2900390625,5167000
1772213400,6858.39013671875,8674000
1772213460,6856.43017578125,7737000
1772213520,6860.47021484375,6653000
1772213580,6861.93994140625,6104000
1772213640,6864.080078125,6115000
1772213700,6863.52001953125,5280000
1772213760,6862.990234375,6484000
1772213820,6862.0498046875,5294000
1772213880,6860.41015625,4808000
1772213940,6858.740234375,5579000
1772214000,6857.14013671875,4990000
1772214060,6855.41015625,5858000
1772214120,6852.39990234375,4928000
1772214180,6854.6201171875,6267000
1772214240,6855.02001953125,5227000
1772214300,6852.990234375,5370000
1772214360,6852.6201171875,5155000
1772214420,6852.6201171875,4963000
1772214480,6851.1298828125,4704000
1772214540,6854.10009765625,5043000
1772214600,6853.33984375,4639000
1772214660,6852.6298828125,4519000
1772214720,6853.14990234375,4685000
1772214780,6856.259765625,5551000
1772214840,6855.41015625,4614000
1772214900,6857.68994140625,4888000
1772214960,6858.02001953125,3952000
1772215020,6858.02978515625,3792000
1772215080,6858.990234375,4860000
1772215140,6859.06982421875,4762000
1772215200,6859.580078125,5528000
1772215260,6856.9599609375,5349000
1772215320,6858.10009765625,5982000
1772215380,6857.8798828125,4982000
1772215440,6857.2998046875,6051000
1772215500,6855.06982421875,4600000
1772215560,6857.5498046875,5054000
1772215620,6859.4599609375,4628000
1772215680,6856.68994140625,4506000
1772215740,6855.14990234375,4407000
1772215800,6855.669921875,4429000
1772215860,6857.0,4526000
1772215920,6854.5,4932000
1772215980,6854.66015625,4781000
1772216040,6854.0498046875,3815000
1772216100,6852.81982421875,4533000
1772216160,6854.080078125,4300000
1772216220,6852.93994140625,4283000
1772216280,6852.93017578125,4937000
1772216340,6850.89990234375,5790000
1772216400,6851.830078125,6090000
1772216460,6847.47021484375,7024000
1772216520,6850.35986328125,5397000
1772216580,6849.06982421875,5060000
1772216640,6849.81005859375,4683000
1772216700,6847.3798828125,5169000
1772216760,6847.02001953125,3658000
1772216820,6847.1298828125,6041000
1772216880,6850.27001953125,5192000
1772216940,6852.759765625,5263000
1772217000,6852.8701171875,4202000
1772217060,6854.0498046875,5236000
1772217120,6851.06005859375,4338000
1772217180,6851.89990234375,4489000
1772217240,6852.0498046875,4013000
1772217300,6851.64990234375,3684000
1772217360,6852.31982421875,4162000
1772217420,6849.0,4352000
1772217480,6851.27001953125,4695000
